Time ns, Temperature
1583585464904417282, 1666
1583585465904441903, 1674
1583585466904451539, 1696
1583585467904438619, 1683
1583585468904452050, 1686
1583585469904438496, 1678
1583585470904385601, 1685
1583585471901362411, 1687
1583585472904406897, 1680
1583585473904433414, 1680
1583585474904382726, 1681
1583585475904407386, 1689
1583585476904383418, 1681
1583585477904445261, 1698
1583585478904443312, 1691
1583585479904435669, 1681
1583585480904415042, 1680
1583585481904442277, 1689
1583585482904419197, 1695
1583585483904434299, 1694
1583585484904418787, 1686
1583585485904439925, 1700
1583585486904455937, 1699
1583585487904452030, 1711
1583585488904411596, 1687
1583585489904399763, 1668
1583585490904381223, 1694
1583585491904405860, 1680
1583585492904392562, 1699
1583585493904412958, 1680
1583585494904418169, 1693
1583585495904458511, 1677
1583585496904418963, 1683
1583585497904454393, 1695
1583585498904436987, 1671
1583585499904429271, 1701
1583585500905410487, 1680
1583585501905412156, 1669
1583585502905409121, 1685
1583585503901408001, 1671
1583585504905393007, 1686
1583585505905413548, 1691
1583585506905465525, 1678
1583585507905475713, 1681
1583585508905447387, 1673
1583585509905392564, 1694
1583585510905435216, 1664
1583585511905459227, 1691
1583585512905474420, 1686
1583585513905444739, 1691
1583585514905420391, 1680
1583585515905467423, 1669
1583585516905452561, 1682
1583585517905458683, 1691
1583585518905453201, 1666
1583585519905469043, 1677
1583585520905444861, 1679
1583585521905452284, 1680
1583585522905429644, 1680
1583585523905417717, 1669
1583585524905431447, 1683
1583585525905445340, 1687
1583585526905427332, 1694
1583585527905447266, 1677
1583585528905425194, 1691
1583585529905450499, 1669
1583585530905470785, 1687
1583585531905453002, 1669
1583585532905427009, 1670
1583585533905452686, 1680
1583585534905455791, 1690
1583585535901459947, 1696
1583585536905466807, 1691
1583585537905426912, 1681
1583585538905356851, 1663
1583585539905438874, 1695
1583585540905503167, 1699
1583585541905381536, 1695
1583585542905430200, 1667
1583585543905388007, 1673
1583585544905429266, 1665
1583585545905459835, 1680
1583585546905461727, 1680
1583585547905455403, 1682
1583585548905356841, 1679
1583585549905465884, 1698
1583585550905454707, 1674
1583585551905465585, 1738
1583585552905443131, 1696
1583585553905445458, 1659
1583585554905414687, 1681
1583585555905464252, 1669
1583585556905451931, 1686
1583585557905448673, 1663
